description,title,date posted
"Analyst - SQL, DBT, Metabase, Python
    ",Build and maintain SQL queries to extract data from various data sources and perform data analysis using Pandas. Create and maintain reports in DBT and Metabase to monitor business metrics and KPIs. Use DBT to build data models as a part of data...,
"Senior Software Engineer - MongoDB - Python
    ",Serve as a key contributor and your work will have a significant impact on the product and the broader ecosystem.You are an accomplished senior Python programmer that enjoys challenging projects in mission-critical environments and with infrastructure.,
"Software Engineer - Python and K8s
    ","Work in Python to design and deliver open source software operations code, work across the entire Linux stack, from kernel, networking, storage, to applications, and shape high quality open source monitoring and alerting infrastructure.",
"Full Stack Python Developer
    ","Development Django-based websites using Python, Postgresql, etc. Work with large data sets, including scripting imports, exports, data cleaning, analysis, etc. Write effective, scalable code. Test and debug programs. ",
"Software Engineer - Backend - Python 
    ","Conceiving, designing, building, and launching new user-facing features. Improving the performance and scalability of our GraphQL and REST API. 5+ years building modern back-end systems, with at least 3 years of that experience using Python. 100% Remote.",
"Senior Python Developer
    ","Write simple, well-structured, well-tested code that provides new features and improvements to existing services, using Python, React, JavaScript, Druid, and SQL. Research and integrate best of breed technologies/frameworks/libraries. Ship code to our...",
"Python Software Engineer
    ","Writing clean, well-designed code. Producing detailed specifications. Developing and deploying new features using Agile and similar methodologies. Supporting production processing by troubleshooting and resolving issues that arise around data...",
"Software Engineer - Python
    ","Collaborate proactively with a distributed team. Write high quality code, with unit and functional tests, to create new features. Debug issues and produce high quality code to fix them. Review code produced by other engineers. Discuss ideas and solutions.",
"Senior Python Engineer
    ","Join a distributed team of senior engineers to deliver market-leading software solutions. Must have 5+ years experience as a software engineer and professional Python experience. Full-time, remote position.",
"Senior Python Engineer
    ","Senior engineer needed for a remote position requiring five+ years' software engineering experience, exceptional Python programming skills. Will write and verify code, perform updates and maintenance, conduct regular reviews, ensure compliance. ",
"Senior Python Engineer
    ","Apply software experience to learn about a current data need in Analytics / Forecasting / Marketing, design a solution for it, and then work with the team to implement it. Use Python, Go, Postgres, Kafka, and several parts of AWS. Help make additions.",
"Python, Django Developer
    ","Seeking experienced Python developer to participate in two projects primarily utilizing Python and Django, performing front-end/back-end development. jQuery skills are a big plus, along with solid SQL skills. Full time, long-term, freelance position.",
"Python Developer
    ","Ensure that features are being delivered efficiently and on-time. Participate in architectural review and design. Must have a bachelor's degree and 5 years of experience in software development. Freelance, remote role.",
"Python Developer
    ","Perform coding for backend and frontend, run test automation, and tackle interesting programming problems. Must have three years of experience with Python and good understanding of HTML, SQLAlchemy, and WSGI. Freelance, remote.",
